epoch,time,memory,val_loss,jaccard,f1,train_loss
1,50.04816293716431,98636800,0.1188113741961656,0.4944328143966234,0.6132063900989602,0.24043703433699332
2,99.7387068271637,98636800,0.10705639444019838,0.5088065570067489,0.6495157752899413,0.11473559577734424
3,150.0687975883484,98636800,0.10669598466855415,0.5114167925072296,0.6639172718336517,0.11016276978672697
4,201.0394160747528,98636800,0.10515765932963249,0.5199404564490797,0.6494885525442546,0.10767642070181095
5,251.6075451374054,98636800,0.10458056781565526,0.5193829630645938,0.6725972405320605,0.10004168791194948
6,301.59535002708435,98636800,0.11191887172125846,0.529080835790982,0.6362388207376184,0.0952350128470705
7,352.336683511734,98636800,0.10882494830183889,0.5099119155421445,0.6332805519951875,0.09028640244979984
8,402.5098612308502,98636800,0.10781435177896433,0.5327328222500879,0.6762742126603981,0.0882852891449315
9,451.789094209671,98636800,0.10983081244634278,0.5232024008017543,0.6408981378317604,0.08688874569685699
10,499.03651547431946,98636800,0.10456155935772284,0.5204568786099326,0.6651989119212316,0.08543931196945218
11,546.1556713581085,98636800,0.10425769019373735,0.538500033251058,0.6638319606476641,0.0842072380753234
12,593.1158082485199,98636800,0.10729470436311239,0.5236295014166904,0.6169597840780183,0.08360921130909656
13,640.5664839744568,98636800,0.10648567429927708,0.5105854844431023,0.6424263950358046,0.08268351610015648
14,688.6705737113953,98636800,0.10661608245121854,0.5413896060098631,0.6680935870369155,0.08169697500908604
15,736.0392868518829,98636800,0.1047340007527168,0.526047310568279,0.6471182524614421,0.08143763828771905
16,783.3301260471344,98636800,0.10271163393763151,0.5356390140158065,0.6600748213591184,0.0808157090518552
17,830.1503579616547,98636800,0.10295208135908498,0.5324803658712961,0.6714299080219674,0.08023751370250605
18,878.3132247924805,98636800,0.10743650661549307,0.5376720515427981,0.6697188972702143,0.07969303048824748
19,926.6360437870026,98636800,0.11168348821485839,0.5431906302830368,0.6784995412029394,0.07925089079815034
20,974.2148199081421,98636800,0.10198064780253407,0.539825798258593,0.6961434741694151,0.07909257044550032
21,1021.6218867301941,98636800,0.11046403229213957,0.5218844997121933,0.6460532923781038,0.07806980865237374
